Title,Title_Core,Title_Extra,Author,Author_Core,Author_Extra,Author_1,Author_Core_1,Author_Role_1,Author_2,Author_Core_2,Author_Role_2,Author_3,Author_Core_3,Author_Role_3,Author_4,Author_Core_4,Author_Role_4,Author_5,Author_Core_5,Author_Role_5,Author_6,Author_Core_6,Author_Role_6,Publisher,Publisher_1,Publisher_2,Publisher_Location,Publication_Month,Year,Edition,Format（开本）,Print_Run,Price[元],Market_Exchange_price_9品[元],Market_Exchange_Price_10品[元],Source,Category/Chapter,Footnotes,Comments,Original_OCR_Data,OCR_Process
一支驳壳枪,一支驳壳枪,,改编：集体 绘画：戴敦邦,,,改编：集体,集体,改编,绘画：戴敦邦,戴敦邦,绘画,,,,,,,,,,,,,上海人民,上海人民,,上海,6,1972,1版1次,60,,0.08,20,80,Ref002:1,单册：壹划,,,一支驳壳枪/出版社：上海人民/改编：集体/绘画：戴敦邦/72年6月1版1次60开/印数：未详定价：0.08元/市场交流价：/9品：20元/10品：80元,PaddlePaddle
一张奇怪的药方,一张奇怪的药方,,改编：刘汉勤 绘画：集体,,,改编：刘汉勤,刘汉勤,改编,绘画：集体,集体,绘画,,,,,,,,,,,,,山东人民,山东人民,,济南,6,1975,1版1次,60,110万,0.13,10,20,Ref002:1,单册：壹划,,,一张奇怪的药方/出版社：山东人民/改编：刘汉勤/绘画：集体/75年6月1版1次60开/印数：110万定价：0.13元/市场交流价：/9品：10元/10品：20元,PaddlePaddle
一块银元,一块银元,,改编：集体 绘画：集体,,,改编：集体,集体,改编,绘画：集体,集体,绘画,,,,,,,,,,,,,人民美术,人民美术,,,1,1972,1版1次,60,,0.11,10,25,Ref002:1,单册：壹划,,,一块银元/出版社：人民美术/改编：集体/绘画：集体/72年1月1版1次60开/印数：未详定价：0.11元/市场交流价：/9品：10元/10品：25元,PaddlePaddle
一颗红心献人民,一颗红心献人民,,改编：集体 绘画：集体,,,改编：集体,集体,改编,绘画：集体,集体,绘画,,,,,,,,,,,,,人民美术,人民美术,,,3,1972,1版1次,60,,0.1,25,60,Ref002:1,单册：壹划,,,一颗红心献人民/出版社：人民美术/改编：集体/绘画：集体/72年3月1版1次60开/印数：未详定价：0.10元/市场交流价：/9品：25元/10品：60元,PaddlePaddle
一块风化石,一块风化石,,改编：集体 绘画：集体,,,改编：集体,集体,改编,绘画：集体,集体,绘画,,,,,,,,,,,,,广东人民,广东人民,,广州,5,1972,1版1次,60,,0.08,40,120,Ref002:1,单册：壹划,,,一块风化石/出版社：广东人民/改编：集体/绘画：集体/72年5月1版1次60开/印数：未详定价：0.08元/市场交流价：/9品：40元/10品：120元,PaddlePaddle
一匹枣骝马,一匹枣骝马,,改编：柳家新 绘画：关庆留张树文,,,改编：柳家新,柳家新,改编,绘画：关庆留,关庆留,绘画,绘画：张树文,张树文,绘画,,,,,,,,,,陕西人民,陕西人民,,西安,1,1975,1版2次,60,50万,0.08,15.元[sic.],30,Ref002:1,单册：壹划,,,一匹枣骝马/出版社：陕西人民/改编：柳家新/绘画：关庆留张树文/75年1月1版2次60开/印数：50万定价：0.08元/市场交流价：/9品：15.元/10品：30元,PaddlePaddle
一把火,一把火,,改编：嵋石 绘画：王云光,,,改编：嵋石,嵋石,改编,绘画：王云光,王云光,绘画,,,,,,,,,,,,,辽宁人民美术,辽宁人民美术,,沈阳,2,1976,1版1次,64,30万,0.1,5,10,Ref002:1,单册：壹划,,,一把火/出版社：辽宁人民美术/改编：嵋石/绘画：王云光/76年2月1版1次64开/印数：30万定价：0.10元/市场交流价：/9品：5元/10品：10元,PaddlePaddle
一担水,一担水,,改编：贾明 绘画：振宇徐希,,,改编：贾明,贾明,改编,绘画：振宇,振宇,绘画,绘画：徐希,徐希,绘画,,,,,,,,,,人民美术,人民美术,,,9,1974,1版1次,64,100万,0.09,8,15,Ref002:1,单册：壹划,,Sic._Author_Core_3,7/一担水/出版社：人民美术/改编：贾明/绘画：振宇徐希/74年9月1版1次64开/印数：100万定价：0.09元/市场交流价：/9品：8元/10品：15元,PaddlePaddle
一次伏击战,一次伏击战,,改编：汪涛 绘画：张为民,,,改编：汪涛,汪涛,改编,绘画：张为民,张为民,绘画,,,,,,,,,,,,,浙江人民美术,浙江人民美术,,杭州,12,1972,1版1次,60,,0.07,10,25,Ref002:2,单册：壹划,,,一次伏击战/出版社：浙江人民美术/改编：汪涛/绘画：张为民/72年12月1版1次60开/印数：未详定价：0.07元/市场交流价：/9品：10元/10品：25元,PaddlePaddle
“一二五”赞歌（上）,“一二五”赞歌,（上）,改编：集体 绘画：集体,,,改编：集体,集体,改编,绘画：集体,集体,绘画,,,,,,,,,,,,,上海人民,上海人民,,上海,12,1971,1版1次,60,,0.14,,,Ref002:2,单册：壹划,,,“—二五”赞歌(上)/出版社：上海人民/改编：集体/绘画：集体/71年12月1版1次60开/印数：未详定价：0.14元,PaddlePaddle
