Title,Title_Core,Title_Extra,Author,Author_Core,Author_Extra,Author_1,Author_Core_1,Author_Role_1,Author_2,Author_Core_2,Author_Role_2,Author_3,Author_Core_3,Author_Role_3,Author_4,Author_Core_4,Author_Role_4,Author_5,Author_Core_5,Author_Role_5,Author_6,Author_Core_6,Author_Role_6,Author_7,Author_Core_7,Author_Role_7,Publisher,Publisher_Location,Publication_Month,Year,Format,Print_Run,Page_Count,Additional_Info,Editorial_Comments,Source,Price,
二万五千里长征,二万五千里长征,,赵伯衡,赵伯衡,,赵伯衡,赵伯衡,,,,,,,,,,,,,,,,,,,,广益,,11,1949,,,,,,Ref004: 1,0.21,
人民英雄刘志丹,人民英雄刘志丹,,董均伦、张文元,董均伦、张文元,,董均伦,董均伦,,张文元,张文元,,,,,,,,,,,,,,,,,大众美术出版社,上海,12,1949,,,,,,Ref004: 1,0.34,
三打祝家庄,三打祝家庄,,,,,,,,,,,,,,,,,,,,,,,,,,民众书局,上海,,1949,,,,,,Ref004: 1,0.12,
三上轿,三上轿,,,,,,,,,,,,,,,,,,,,,,,,,,民众书局,上海,,1949,,,,,,Ref004: 1,0.12,
工人的旗帜赵占魁,工人的旗帜赵占魁,,野夫、江丰,野夫、江丰,,野夫,野夫,,江丰,江丰,,,,,,,,,,,,,,,,,大众美术出版社,上海,11,1949,,,,,,Ref004: 1,0.12,
小姑贤刘保堂,小姑贤刘保堂,,力群刻,力群刻,,力群刻,力群,刻,,,,,,,,,,,,,,,,,,,晨光出版公司,上海,10,1949,,,,,,Ref004: 1,,
与灾荒搏斗,与灾荒搏斗,,陶钝、盾心,陶钝、盾心,,陶钝,陶钝,,盾心,盾心,,,,,,,,,,,,,,,,,教育出版社,上海,12,1949,,,,,,Ref004: 1,0.4,
王秀鸾,王秀鸾,,张令涛、何公超,张令涛、何公超,,张令涛,张令涛,,何公超,何公超,,,,,,,,,,,,,,,,,华东书店,上海,11,1949,,,,,,Ref004: 1,0.3,
丹娘,丹娘,,王景球、徐甫堡,王景球、徐甫堡,,王景球,王景球,,徐甫堡,徐甫堡,,,,,,,,,,,,,,,,,大众美术出版社,上海,10,1949,,,,,,Ref004: 1,0.2,
无坚不摧,无坚不摧,,施展、安林,施展、安林,,施展,施展,,安林,安林,,,,,,,,,,,,,,,,,中南新华,,10,1949,,,,,,Ref004: 1,0.24,
文素臣（上、下册）,文素臣,（上、下册）,张令涛等,张令涛等,,张令涛等,张令涛,,等,等,,,,,,,,,,,,,,,,,上海,,,1949,,,,,,Ref004: 1,,
木兰从军,木兰从军,,马少波,马少波,,马少波,马少波,,,,,,,,,,,,,,,,,,,,华东新华,,12,1949,,,,,,Ref004: 1,0.1,
木兰从军（上、中、下册）,木兰从军,（上、中、下册）,戴玲,戴玲,,戴玲,戴玲,,,,,,,,,,,,,,,,,,,,越伶出版社,上海,3,1949,,,,,,Ref004: 1,,
不要杀他,不要杀他,,野夫、陈烟桥,野夫、陈烟桥,,野夫,野夫,,陈烟桥,陈烟桥,,,,,,,,,,,,,,,,,大众美术出版社,上海,12,1949,,,,,,Ref004: 1,0.22,
不要杀他,不要杀他,,陈江风、何公超,陈江风、何公超,,陈江风,陈江风,,何公超,何公超,,,,,,,,,,,,,,,,,华东书店,上海,11,1949,,,,,,Ref004: 1,0.25,
水上人家（上、中、下册）,水上人家,（上、中、下册）,瞿白音,瞿白音,,瞿白音,瞿白音,,,,,,,,,,,,,,,,,,,,学林,,11,1949,,,,,,Ref004: 1,1.2,
讨血债（上、下册）,讨血债,（上、下册）,严绍唐,严绍唐,,严绍唐,严绍唐,,,,,,,,,,,,,,,,,,,,惜阴,,10,1949,,,,,,Ref004: 1,,
白毛女,白毛女,,武石、徐甫堡,武石、徐甫堡,,武石,武石,,徐甫堡,徐甫堡,,,,,,,,,,,,,,,,,大众美术出版社,上海,11,1949,,,,,,Ref004: 1,0.34,
白毛女,白毛女,,张克,张克,,张克,张克,,,,,,,,,,,,,,,,,,,,苏北新华,,11,1949,,,,,,Ref004: 1,,
白毛女,白毛女,,姜燕,姜燕,,姜燕,姜燕,,,,,,,,,,,,,,,,,,,,知识出版社,北京,12,1949,,,,,,Ref004: 1,0.6,
白毛女,白毛女,,姜燕,姜燕,,姜燕,姜燕,,,,,,,,,,,,,,,,,,,,知识出版社,上海,12,1949,,,,,,Ref004: 1,0.6,
红灯记,红灯记,,平原,平原,,平原,平原,,,,,,,,,,,,,,,,,,,,华东新华,,10,1949,,,,,,Ref004: 1,0.34,
刘巧团圆,刘巧团圆,,韩起祥,韩起祥,,韩起祥,韩起祥,,,,,,,,,,,,,,,,,,,,山东新华,,10,1949,,,,,,Ref004: 1,0.22,
农民血泪,农民血泪,,吴承干、陈光镒,吴承干、陈光镒,,吴承干,吴承干,,陈光镒,陈光镒,,,,,,,,,,,,,,,,,联益社书局,上海,10,1949,,,,,,Ref004: 1,,
动物园,动物园,,哲安,哲安,,哲安,哲安,,,,,,,,,,,,,,,,,,,,教育出版社,上海,12,1949,,,,,,Ref004: 1,0.35,
血海深仇,血海深仇,,杨涵等,杨涵等,,杨涵等,杨涵,,等,等,,,,,,,,,,,,,,,,,山东新华,,10,1949,,11,,,,Ref004: 1,0.25,
血染梅山岛,血染梅山岛,,贺友直,贺友直,,贺友直,贺友直,,,,,,,,,,,,,,,,,,,,上海,,,1949,,,,,,Ref004: 1,,
李闯王（上、下册）,李闯王,（上、下册）,汪玉山,汪玉山,,汪玉山,汪玉山,,,,,,,,,,,,,,,,,,,,泰兴,,10,1949,,,,,,Ref004: 1,0.5,
李闯王,李闯王,,,,,,,,,,,,,,,,,,,,,,,,,,民众书局,上海,,1949,,,,,,Ref004: 1,0.12,
祝福,祝福,,丰子恺,丰子恺,,丰子恺,丰子恺,,,,,,,,,,,,,,,,,,,,万叶书局,上海,,1949,,,,,,Ref004: 1,0.3,
杨桂香,杨桂香,,陶钝、盾心,陶钝、盾心,,陶钝,陶钝,,盾心,盾心,,,,,,,,,,,,,,,,,教育出版社,上海,12,1949,,,,,,Ref004: 1,0.4,
两万五千里长征记,两万五千里长征记,,云磊,云磊,,云磊,云磊,,,,,,,,,,,,,,,,,,,,郑州人民教育馆,,10,1949,,,,,,Ref004: 1,,
