Page_Number,ROI,Column,Text_Line,Footnote_Text
1,ROI1,Col1,一支驳壳枪,
1,ROI1,Col1,出版社：上海人民,
1,ROI1,Col1,改编：集体,
1,ROI1,Col1,绘画：戴敦邦,
1,ROI1,Col1,72年6月1版1次60开,
1,ROI1,Col1,印数：未详定价：0.08元,
1,ROI1,Col1,市场交流价：,
1,ROI1,Col1,9品：20元,
1,ROI1,Col1,10品：80元,
1,ROI1,Col2,一张奇怪的药方,
1,ROI1,Col2,出版社：山东人民,
1,ROI1,Col2,改编：刘汉勤,
1,ROI1,Col2,绘画：集体,
1,ROI1,Col2,75年6月1版1次60开,
1,ROI1,Col2,印数：110万定价：0.13元,
1,ROI1,Col2,市场交流价：,
1,ROI1,Col2,9品：10元,
1,ROI1,Col2,10品：20元,
1,ROI1,Col3,一块银元,
1,ROI1,Col3,出版社：人民美术,
1,ROI1,Col3,改编：集体,
1,ROI1,Col3,绘画：集体,
1,ROI1,Col3,72年1月1版1次60开,
1,ROI1,Col3,印数：未详定价：0.11元,
1,ROI1,Col3,市场交流价：,
1,ROI1,Col3,9品：10元,
1,ROI1,Col3,10品：25元,
1,ROI1,Col4,一颗红心献人民,
1,ROI1,Col4,出版社：人民美术,
1,ROI1,Col4,改编：集体,
1,ROI1,Col4,绘画：集体,
1,ROI1,Col4,72年3月1版1次60开,
1,ROI1,Col4,印数：未详定价：0.10元,
1,ROI1,Col4,市场交流价：,
1,ROI1,Col4,9品：25元,
1,ROI1,Col4,10品：60元,
1,ROI2,Col1,一块风化石,
1,ROI2,Col1,出版社：广东人民,
1,ROI2,Col1,改编：集体,
1,ROI2,Col1,绘画：集体,
1,ROI2,Col1,72年5月1版1次60开,
1,ROI2,Col1,印数：未详定价：0.08元,
1,ROI2,Col1,市场交流价：,
1,ROI2,Col1,9品：40元,
1,ROI2,Col1,10品：120元,
1,ROI2,Col2,一匹枣骝马,
1,ROI2,Col2,出版社：陕西人民,
1,ROI2,Col2,改编：柳家新,
1,ROI2,Col2,绘画：关庆留张树文,
1,ROI2,Col2,75年1月1版2次60开,
1,ROI2,Col2,印数：50万定价：0.08元,
1,ROI2,Col2,市场交流价：,
1,ROI2,Col2,9品：15.元,
1,ROI2,Col2,10品：30元,
1,ROI2,Col3,一把火,
1,ROI2,Col3,出版社：辽宁人民美术,
1,ROI2,Col3,改编：嵋石,
1,ROI2,Col3,绘画：王云光,
1,ROI2,Col3,76年2月1版1次64开,
1,ROI2,Col3,印数：30万定价：0.10元,
1,ROI2,Col3,市场交流价：,
1,ROI2,Col3,9品：5元,
1,ROI2,Col3,10品：10元,
1,ROI2,Col4,7,
1,ROI2,Col4,一担水,
1,ROI2,Col4,出版社：人民美术,
1,ROI2,Col4,改编：贾明,
1,ROI2,Col4,绘画：振宇徐希,
1,ROI2,Col4,74年9月1版1次64开,
1,ROI2,Col4,印数：100万定价：0.09元,
1,ROI2,Col4,市场交流价：,
1,ROI2,Col4,9品：8元,
1,ROI2,Col4,10品：15元,
2,ROI1,Col1,一次伏击战,
2,ROI1,Col1,出版社：浙江人民美术,
2,ROI1,Col1,改编：汪涛,
2,ROI1,Col1,绘画：张为民,
2,ROI1,Col1,72年12月1版1次60开,
2,ROI1,Col1,印数：未详定价：0.07元,
2,ROI1,Col1,市场交流价：,
2,ROI1,Col1,9品：10元,
2,ROI1,Col1,10品：25元,
2,ROI1,Col2,“—二五”赞歌(上),
2,ROI1,Col2,出版社：上海人民,
2,ROI1,Col2,改编：集体,
2,ROI1,Col2,绘画：集体,
2,ROI1,Col2,71年12月1版1次60开,
2,ROI1,Col2,印数：未详定价：0.14元,
2,ROI1,Col3,“一二五”赞歌(下),
2,ROI1,Col3,出版社：上海人民,
2,ROI1,Col3,改编：集体,
2,ROI1,Col3,绘画：集体,
2,ROI1,Col3,71年12月1版1次60开,
2,ROI1,Col3,印数：未详定价：0.14元,
2,ROI1,Col3,市场交流价：,
2,ROI1,Col3,9品：200元（全套）,
2,ROI1,Col3,10品：500元,
2,ROI1,Col4,一片丹心为人民,
2,ROI1,Col4,出版社：吉林人民,
2,ROI1,Col4,改编：集体,
2,ROI1,Col4,绘画：集体,
2,ROI1,Col4,71年12月1版1次60开,
2,ROI1,Col4,印数：未详定价：0.14元,
2,ROI1,Col4,市场交流价：,
2,ROI1,Col4,9品：元,
2,ROI1,Col4,10品：元,
2,ROI2,Col1,一张赌据,
2,ROI2,Col1,出版社：河北美术,
2,ROI2,Col1,改编：张丽英等,
2,ROI2,Col1,绘画：吴绍人,
2,ROI2,Col1,83年11月1版1次64开,
2,ROI2,Col1,印数：11万定价：0.14元,
2,ROI2,Col1,市场交流价：,
2,ROI2,Col1,9品：15元,
2,ROI2,Col1,10品：25元,
2,ROI2,Col2,一件怪事,
2,ROI2,Col2,出版社：上海人民美术,
2,ROI2,Col2,改编：王根泉,
2,ROI2,Col2,绘画：汪观清,
2,ROI2,Col2,84年1月2版2次60开,
2,ROI2,Col2,印数：38万定价：0.13元,
2,ROI2,Col2,市场交流价：,
2,ROI2,Col2,9品：25元,
2,ROI2,Col2,10品：40元,
2,ROI2,Col3,少女和一千个追求者,
2,ROI2,Col3,出版社：天津人民美术,
2,ROI2,Col3,改编：裴石,
2,ROI2,Col3,绘画：裴石,
2,ROI2,Col3,85年7月1版1次64开,
2,ROI2,Col3,印数：33.25万定价：0.36元,
2,ROI2,Col3,市场交流价：,
2,ROI2,Col3,9品：5元,
2,ROI2,Col3,10品：15元,
2,ROI2,Col4,一个少女和一千个追求者,
2,ROI2,Col4,出版社：中国连环画,
2,ROI2,Col4,改编：王素一,
2,ROI2,Col4,绘画：侯滨侯伟等,
2,ROI2,Col4,87年12月1版1次64开,
2,ROI2,Col4,印数：5.1万定价：0.65元,
2,ROI2,Col4,市场交流价：,
2,ROI2,Col4,9品：10元,
2,ROI2,Col4,10品：20元,
3,ROI1,Col1,一袋金币,
3,ROI1,Col1,出版社：上海人民美术,
3,ROI1,Col1,改编：王根泉,
3,ROI1,Col1,绘画：殷光宇,
3,ROI1,Col1,79年1月1版1次64开,
3,ROI1,Col1,印数：70万 定价：0.13元,
3,ROI1,Col1,市场交流价：,
3,ROI1,Col1,9品：15元,
3,ROI1,Col1,10品：30元,
3,ROI1,Col2,一夜新娘,
3,ROI1,Col2,出版社：广西人民,
3,ROI1,Col2,改编：韦镭,
3,ROI1,Col2,绘画：梁启德,
3,ROI1,Col2,86年8月1版1次64开,
3,ROI1,Col2,印数：6.15万定价：0.30元,
3,ROI1,Col2,市场交流价：,
3,ROI1,Col2,9品：5元,
3,ROI1,Col2,10品：10元,
3,ROI1,Col3,一代球王,
3,ROI1,Col3,出版社：岭南美术,
3,ROI1,Col3,编文：子君,
3,ROI1,Col3,绘画：赵淑钦,
3,ROI1,Col3,83年8月1版1次64开,
3,ROI1,Col3,印数：10万定价：0.32元,
3,ROI1,Col3,市场交流价：,
3,ROI1,Col3,9品：5元,
3,ROI1,Col3,10品：10元,
3,ROI1,Col4,人变狐狸,
