书名,编绘,出版社,出版月份,开本,印数（千册）,页数,定价,年,来源,
二万五千里长征,赵伯衡,广益,11月,,,,0.21元,1949,Ref004: 1,
人民英雄刘志丹,董均伦、张文元,大众美术,12月,,,,0.34元,1949,Ref004: 1,
三打祝家庄,民众,,,,,,0.12元,1949,Ref004: 1,
三上轿,民众,,,,,,0.12元,1949,Ref004: 1,
工人的旗帜赵占魁,野夫、江丰,大众美术,11月,,,,0.12元,1949,Ref004: 1,
小姑贤刘保堂,力群刻,晨光,10月,,,,,1949,Ref004: 1,
与灾荒搏斗,陶钝、盾心,教育,12月,,,,0.40元,1949,Ref004: 1,
王秀鸾,张令涛、何公超,华东书店,11月,,,,0.30元,1949,Ref004: 1,
丹娘,王景球、徐甫堡,大众美术,10月,,,,0.20元,1949,Ref004: 1,
无坚不摧,施展、安林,中南新华,10月,,,,0.24元,1949,Ref004: 1,
文素臣（上、下册）,张令涛等,上海,,,,,,1949,Ref004: 1,
木兰从军,马少波,华东新华,12月,,,,0.10元,1949,Ref004: 1,
木兰从军（上、中、下册）,戴玲,越伶,3月,,,,,1949,Ref004: 1,
不要杀他,野夫、陈烟桥,大众美术,12月,,,,0.22元,1949,Ref004: 1,
不要杀他,陈江风、何公超,华东书店,11月,,,,0.25元,1949,Ref004: 1,
水上人家（上、中、下册）,瞿白音,学林,11月,,,,1.20元,1949,Ref004: 1,
讨血债（上、下册）,严绍唐,惜阴,10月,,,,,1949,Ref004: 1,
白毛女,武石、徐甫堡,大众美术,11月,,,,0.34元,1949,Ref004: 1,
白毛女,张克,苏北新华,11月,,,,,1949,Ref004: 1,
白毛女,姜燕,知识,12月,,,,0.60元,1949,Ref004: 1,
红灯记,平原,华东新华,10月,,,,0.34元,1949,Ref004: 1,
刘巧团圆,韩起祥,山东新华,10月,,,,0.22元,1949,Ref004: 1,
农民血泪,吴承干、陈光镒,联益社,10月,,,,,1949,Ref004: 1,
动物园,哲安,教育,12月,,,,0.35元,1949,Ref004: 1,
血海深仇,杨涵等,山东新华,10月,,11,,0.25元,1949,Ref004: 1,
血染梅山岛,贺友直,上海,,,,,,1949,Ref004: 1,
李闯王（上、下册）,汪玉山,泰兴,10月,,,,0.50元,1949,Ref004: 1,
李闯王,民众,,,,,,0.12元,1949,Ref004: 1,
祝福,丰子恺,万叶,,,,,0.30元,1949,Ref004: 1,
杨桂香,陶钝、盾心,教育,12月,,,,0.40元,1949,Ref004: 1,
两万五千里长征记,云磊,郑州人民教育馆,10月,,,,,1949,Ref004: 1,
孟姜女（上、下册）,钱笑呆,联益社,10月,,,,0.34元,1949,Ref004: 1,
鬼变人,江丰、徐甫堡,大众美术,12月,,,,0.35元,1949,Ref004: 1,
粉红色的炸弹（上、中、下册）,戴玲,越伶,10月,,,,,1949,Ref004: 1,
热血男儿的故事（三册）,陈江风、黄一德,华东,10月,,,,0.75元,1949,Ref004: 1,
堕落的女性,戴玲,影谊,10月,,,,,1949,Ref004: 1,
渔夫恨,民众,,,,,,0.15元,1949,Ref004: 1,
野猪林,民众,,,,,,0.12元,1949,Ref004: 1,
揭穿一贯道,辽东文联筹委会,辽东新华,12月,,,,0.20元,1949,Ref004: 1,
智勇双全,陈兴华,中南新华,11月,,,,0.27元,1949,Ref004: 1,
逼上梁山,集体创作,山东新华,11月,,,,0.23元,1949,Ref004: 1,
鼓风炉旁四十年,徐甫堡、野夫,大众美术,11月,,,,0.38元,1949,Ref004: 1,
福贵,贺友直,普及,,,,,,1949,Ref004: 1,
摔龙王,少鲁,大众美术,11月,,,,0.38元,1949,Ref004: 1,
窑洞保卫战,张漾兮,大众美术,10月,,,,0.15元,1949,Ref004: 1,
一支生产军,蔡杰编绘,同丰,11月,,,,0.30元,1950,Ref004: 2,
一百二十九处伤,莫洛编绘,一迅,11月,,,,0.17元,1950,Ref004: 2,
一门二霸,李铁生、金戈编绘,华大,,,,,0.60元,1950,Ref004: 2,
一封机密信,江丰等编绘,大众美术,10月,,,,0.38元,1950,Ref004: 2,
一架弹花机,祝耘农、陈履平编绘,人民书报,11月,,,,0.32元,1950,Ref004: 2,
一个下贱的女人,王俊生、黄海澄编绘,华商,2月,,,,0.30元,1950,Ref004: 2,
一个女人的新生,张鸾编绘,实用,5月,,,,0.19元,1950,Ref004: 2,
一个女人翻身的故事,孔厥、方生编绘,学林,7月,,,,0.45元,1950,Ref004: 2,
一个女人翻身的故事,陈江风、黄一德,华东书店,1月,,,,0.30元,1950,Ref004: 2,
一个空白村的变化,那沙、俞乃大,百成,11月,,,,0.33元,1950,Ref004: 2,
一个被压迫的女子,陈江风,华东书店,4月,,,,0.25元,1950,Ref004: 2,
一个副连长,王佐英,兴华,11月,,,,0.26元,1950,Ref004: 2,
一个新的城市,,新华,9月,,,,1.24元,1950,Ref004: 2,
一只手开荒,曹同煜,同丰,9月,,,,0.32元,1950,Ref004: 2,
一连串的故事,罗夫、影泉,兄弟图书,9月,,,,0.18元,1950,Ref004: 2,
一贯道害死人,田作良,太原新华,10月,,10,,0.10元,1950,Ref004: 2,
一团和气,张国珍、陈惠民,周家,10月,,,,0.30元,1950,Ref004: 2,
二十年不屈的斗争,蒋萍,新连,9月,,,,0.30元,1950,Ref004: 2,
